AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class,Timestamp,source_split,acc_mag,gyro_mag,prev_acc_mag,prev_gyro_mag,delta_t,jerk_mag,gyro_delta,row_in_split,trip_seq,trip_id,driver_id,dominant_class
0.75819385,-0.2177906,0.45726347,0.0,0.0,0.0,AGGRESSIVE,818922,test,0.911800713216777,0.0,,,0.0,0.0,0.0,0,0,TST-TRIP-001,D001,AGGRESSIVE
0.6675599,-0.03861046,0.23141575,-0.054367006,-0.0077121737,0.22525656,AGGRESSIVE,818923,test,0.7075876179368066,0.23185289902784612,0.911800713216777,0.0,1.0,0.20421309527997045,0.23185289902784612,1,0,TST-TRIP-001,D001,AGGRESSIVE
2.7244492,-7.5841208,2.390926,0.023823744,0.01366811,-0.038026363,AGGRESSIVE,818923,test,8.405833622541508,0.04690833926027871,0.7075876179368066,0.23185289902784612,0.0,7.698246004604701,0.1849445597675674,2,0,TST-TRIP-001,D001,AGGRESSIVE
2.33095,-7.6217537,2.5290236,0.05681047,-0.18058704,-0.05207626,AGGRESSIVE,818924,test,8.361842962847405,0.19634420127207755,8.405833622541508,0.04690833926027871,1.0,0.043990659694102874,0.14943586201179884,3,0,TST-TRIP-001,D001,AGGRESSIVE
2.8472152,-6.7556214,2.22464,-0.03176499,-0.03520111,0.035277467,AGGRESSIVE,818924,test,7.661206042448473,0.059098497551699984,8.361842962847405,0.19634420127207755,0.0,0.7006369203989316,0.13724570372037756,4,0,TST-TRIP-001,D001,AGGRESSIVE
0.44222856,-1.6468334,0.06529236,-0.01038471,-0.024205536,0.0010690142,AGGRESSIVE,818925,test,1.706425925409481,0.026360822562871547,7.661206042448473,0.059098497551699984,1.0,5.954780117038992,0.03273767498882844,5,0,TST-TRIP-001,D001,AGGRESSIVE
0.2383908,0.029413342,0.33282852,0.0012217305,-0.015042556,0.023060163,AGGRESSIVE,818925,test,0.41045114439801406,0.027559793794844245,1.706425925409481,0.026360822562871547,0.0,1.2959747810114668,0.001198971231972698,6,0,TST-TRIP-001,D001,AGGRESSIVE
0.0434494,0.22891134,0.35466862,0.070249505,0.050320026,0.07742717,AGGRESSIVE,818926,test,0.4243560791996033,0.11602613767420944,0.41045114439801406,0.027559793794844245,1.0,0.01390493480158922,0.0884663438793652,7,0,TST-TRIP-001,D001,AGGRESSIVE
-0.095363855,-0.027441323,-0.039779663,0.040927973,-0.010155635,0.1366811,AGGRESSIVE,818926,test,0.10690983414468906,0.14303831302609785,0.4243560791996033,0.11602613767420944,0.0,0.3174462450549142,0.027012175351888407,8,0,TST-TRIP-001,D001,AGGRESSIVE
0.27051997,-0.07373035,0.0030345917,0.0036651916,-0.0077121737,0.2576324,AGGRESSIVE,818927,test,0.28040404317111606,0.257773863652628,0.10690983414468906,0.14303831302609785,1.0,0.17349420902642698,0.11473555062653015,9,0,TST-TRIP-001,D001,AGGRESSIVE
0.5129715,0.1584896,0.2572117,0.040927973,-0.005879578,0.33215797,AGGRESSIVE,818927,test,0.5953289609428556,0.33472165368536844,0.28040404317111606,0.257773863652628,0.0,0.31492491777173953,0.07694779003274044,10,0,TST-TRIP-001,D001,AGGRESSIVE
0.3643882,0.23400217,-0.8731127,0.09040806,0.052763484,0.41218132,AGGRESSIVE,818928,test,0.9746084150905115,0.4252658499265186,0.5953289609428556,0.33472165368536844,1.0,0.37927945414765596,0.09054419624115018,11,0,TST-TRIP-001,D001,AGGRESSIVE
-0.9127637,-0.3456328,0.83376026,0.0580322,-0.02603813,0.3669773,AGGRESSIVE,818929,test,1.2836493974714425,0.37244873360776365,0.9746084150905115,0.4252658499265186,1.0,0.3090409823809309,0.052817116318754964,12,0,TST-TRIP-001,D001,AGGRESSIVE
0.030257344,0.041704893,0.77029896,0.06291912,-0.022983804,0.19837849,AGGRESSIVE,818929,test,0.7720202670546656,0.20938265497066585,1.2836493974714425,0.37244873360776365,0.0,0.5116291304167768,0.1630660786370978,13,0,TST-TRIP-001,D001,AGGRESSIVE
-0.31680942,2.2246227,1.0167103,-0.04337143,0.07047858,0.09636399,AGGRESSIVE,818930,test,2.4663767352296597,0.12702098152581484,0.7720202670546656,0.20938265497066585,1.0,1.694356468174994,0.08236167344485101,14,0,TST-TRIP-001,D001,AGGRESSIVE
-0.5736394,1.895479,0.25301552,0.002443461,0.019165898,0.00045814895,AGGRESSIVE,818930,test,1.996476810292128,0.019326459796489143,2.4663767352296597,0.12702098152581484,0.0,0.46989992493753174,0.1076945217293257,15,0,TST-TRIP-001,D001,AGGRESSIVE
-0.28935122,-0.04953766,-1.1415176,-0.04153884,-0.048640147,-0.06429356,AGGRESSIVE,818931,test,1.1786604852049314,0.09069179117318617,1.996476810292128,0.019326459796489143,1.0,0.8178163250871966,0.07136533137669702,16,0,TST-TRIP-001,D001,AGGRESSIVE
0.009707689,-2.3025599,-1.537632,-0.03176499,-0.10667235,-0.06734789,AGGRESSIVE,818931,test,2.7687882728258097,0.1300912876855122,1.1786604852049314,0.09069179117318617,0.0,1.5901277876208784,0.039399496512326035,17,0,TST-TRIP-001,D001,AGGRESSIVE
